                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4836,                 1.6766,                 1.6677,                0.46208,                0.16434,                0.18381,                0.07347,                 2.3442,                 2.7499,                 2.4485,               0.001469,               0.001469,               0.001469
                     36,                 1.4858,                 1.6138,                 1.6697,                0.30207,                0.26651,                0.19947,                0.07631,                 2.3521,                 3.0487,                 2.5003,               0.001463,               0.001463,               0.001463
                     37,                 1.4559,                 1.5423,                   1.65,                0.34564,                0.32115,                0.29212,                0.09846,                 2.3008,                 2.6513,                 2.4281,               0.001457,               0.001457,               0.001457
                     38,                 1.4246,                 1.5353,                 1.6047,                0.30336,                0.32259,                0.27432,                0.09859,                 2.3377,                 2.5167,                 2.5001,               0.001451,               0.001451,               0.001451
                     39,                 1.4762,                  1.541,                 1.6282,                0.39236,                0.26703,                0.23433,                0.09207,                 2.3275,                 2.6119,                 2.5693,               0.001445,               0.001445,               0.001445
                     40,                 1.4241,                 1.5024,                 1.6261,                 0.4117,                0.39494,                0.33191,                0.10879,                  2.354,                  2.612,                 2.5895,               0.001439,               0.001439,               0.001439
                     41,                 1.4295,                 1.4932,                 1.6246,                0.31684,                0.36923,                0.25191,                 0.0804,                 2.4298,                 2.7177,                 2.6598,               0.001433,               0.001433,               0.001433
                     42,                  1.429,                 1.5593,                 1.6315,                0.55375,                0.28931,                0.26839,                0.08883,                 2.4167,                 2.6362,                  2.614,               0.001427,               0.001427,               0.001427
                     43,                 1.3959,                 1.4681,                 1.5934,                 0.3382,                0.19209,                  0.156,                0.04915,                 2.5176,                 2.8561,                 2.8369,               0.001421,               0.001421,               0.001421
                     44,                 1.3823,                 1.4741,                 1.5989,                0.60122,                0.26599,                0.28551,                0.10104,                 2.3949,                 2.7258,                 2.7202,              0.0014149,              0.0014149,              0.0014149
                     45,                  1.352,                 1.3966,                 1.5581,                 0.3765,                0.31316,                0.26537,                0.11653,                 2.2711,                 2.4182,                 2.5245,              0.0014089,              0.0014089,              0.0014089
                     46,                 1.4262,                 1.4843,                 1.6083,                0.35531,                 0.3244,                0.23476,                0.09127,                  2.468,                 2.5121,                 2.7664,              0.0014029,              0.0014029,              0.0014029
                     47,                 1.4272,                 1.4539,                   1.61,                0.32889,                0.29429,                0.25641,                0.11301,                  2.425,                 2.6069,                 2.6789,              0.0013969,              0.0013969,              0.0013969
                     48,                 1.3504,                 1.3862,                 1.5795,                0.48779,                0.30441,                0.29217,                 0.1008,                 2.4448,                 2.5419,                 2.7211,              0.0013909,              0.0013909,              0.0013909
                     49,                 1.3821,                 1.4194,                 1.6037,                0.43073,                0.31761,                 0.2688,                0.09613,                 2.3534,                 2.5828,                  2.645,              0.0013849,              0.0013849,              0.0013849
                     50,                 1.3408,                 1.3329,                 1.5627,                0.38808,                0.28983,                0.25308,                0.09189,                 2.4131,                   2.69,                 2.6898,              0.0013789,              0.0013789,              0.0013789
                     51,                 1.3827,                 1.4003,                 1.5725,                0.37087,                0.27929,                0.22703,                0.06994,                 2.6027,                  2.637,                 2.8407,              0.0013729,              0.0013729,              0.0013729
                     52,                  1.372,                 1.4026,                  1.561,                0.33673,                0.31817,                0.23855,                0.07849,                 2.5293,                 2.7464,                 2.8931,              0.0013669,              0.0013669,              0.0013669
                     53,                 1.3536,                 1.3524,                 1.5395,                0.39893,                0.27542,                0.25198,                0.10214,                 2.3281,                 2.8295,                 2.6361,              0.0013609,              0.0013609,              0.0013609
                     54,                  1.368,                 1.3384,                 1.5659,                0.30704,                0.37867,                0.23718,                0.10431,                  2.298,                   2.74,                 2.6896,              0.0013549,              0.0013549,              0.0013549
                     55,                 1.3342,                 1.3338,                 1.5048,                0.32309,                0.28538,                0.25609,                0.10892,                 2.4527,                 2.5441,                 2.6966,              0.0013489,              0.0013489,              0.0013489
                     56,                 1.3425,                  1.311,                 1.5339,                0.33906,                0.30372,                0.24875,                0.09222,                 2.5106,                 2.4782,                 2.7129,              0.0013429,              0.0013429,              0.0013429
                     57,                 1.3207,                 1.3145,                  1.524,                0.34043,                0.32304,                0.22958,                0.07642,                 2.5185,                 2.6473,                 2.6893,              0.0013369,              0.0013369,              0.0013369
                     58,                 1.3004,                 1.2978,                 1.5357,                0.43814,                0.26703,                0.25842,                  0.094,                 2.5363,                 2.6051,                  2.698,              0.0013309,              0.0013309,              0.0013309
                     59,                 1.3172,                  1.283,                 1.5178,                0.32904,                0.30729,                0.22756,                 0.0811,                 2.4912,                 2.6429,                 2.6671,              0.0013249,              0.0013249,              0.0013249
                     60,                 1.2611,                 1.2417,                 1.4834,                0.34645,                 0.2521,                0.24976,                 0.0967,                 2.3789,                 2.6123,                 2.6789,              0.0013189,              0.0013189,              0.0013189
                     61,                  1.247,                 1.2069,                 1.4783,                0.36742,                0.31368,                0.22779,                0.07817,                 2.4486,                 2.7869,                 2.7894,              0.0013129,              0.0013129,              0.0013129
                     62,                  1.266,                 1.1775,                 1.4642,                0.44399,                0.37421,                0.31839,                0.11187,                 2.4086,                 2.5345,                 2.6583,              0.0013069,              0.0013069,              0.0013069
                     63,                 1.2902,                  1.209,                 1.5047,                0.44487,                 0.3881,                0.33631,                0.12071,                 2.5111,                 2.4446,                 2.7736,              0.0013009,              0.0013009,              0.0013009
                     64,                 1.3402,                  1.279,                 1.5275,                0.46443,                0.29672,                 0.2459,                0.09386,                 2.4347,                 2.6681,                 2.7317,              0.0012949,              0.0012949,              0.0012949
                     65,                 1.2746,                 1.2197,                 1.4858,                0.53874,                0.35882,                 0.3621,                 0.1356,                 2.3947,                 2.3935,                 2.6619,              0.0012889,              0.0012889,              0.0012889
                     66,                 1.3143,                 1.2592,                 1.5068,                 0.4558,                0.29429,                0.30423,                 0.1093,                 2.4008,                 2.5019,                 2.6191,              0.0012829,              0.0012829,              0.0012829
                     67,                 1.2497,                 1.1731,                 1.4603,                0.65758,                0.19602,                 0.2654,                0.08833,                 2.4367,                 2.6016,                 2.6876,              0.0012769,              0.0012769,              0.0012769
                     68,                 1.2454,                 1.1972,                 1.4641,                0.33511,                0.30922,                0.23091,                0.07382,                 2.3983,                 2.7315,                  2.601,              0.0012709,              0.0012709,              0.0012709
                     69,                  1.227,                 1.1592,                 1.4467,                0.47494,                0.35405,                0.35266,                0.12589,                 2.2268,                 2.4992,                 2.5033,              0.0012649,              0.0012649,              0.0012649
                     70,                 1.2582,                 1.1658,                 1.4697,                0.41495,                0.35258,                0.27176,                0.08379,                 2.4174,                 2.6282,                   2.87,              0.0012589,              0.0012589,              0.0012589
                     71,                  1.236,                 1.1388,                 1.4556,                0.51525,                0.31263,                0.30526,                 0.1063,                 2.5151,                 2.7923,                  2.817,              0.0012529,              0.0012529,              0.0012529
                     72,                 1.2395,                 1.1565,                 1.4581,                0.39502,                0.31316,                0.29656,                0.11237,                 2.5105,                 2.5697,                  2.884,              0.0012469,              0.0012469,              0.0012469
                     73,                 1.1987,                 1.1409,                 1.4265,                0.36519,                0.34146,                0.30869,                0.12377,                 2.3661,                 2.4603,                 2.6942,              0.0012409,              0.0012409,              0.0012409
                     74,                 1.2183,                 1.1878,                 1.4589,                0.43017,                0.30425,                0.28957,                0.11428,                 2.4163,                 2.4792,                 2.6249,              0.0012349,              0.0012349,              0.0012349
                     75,                 1.2285,                 1.1785,                 1.4413,                 0.4571,                0.34644,                0.29764,                 0.1056,                  2.438,                 2.4089,                 2.6737,              0.0012289,              0.0012289,              0.0012289
                     76,                 1.1668,                 1.1021,                 1.4098,                0.38788,                 0.3347,                0.25531,                0.09453,                 2.4597,                 2.6328,                 2.7284,              0.0012229,              0.0012229,              0.0012229
                     77,                 1.1685,                 1.0682,                 1.4109,                 0.4134,                0.35751,                0.28938,                0.11595,                 2.3614,                 2.5137,                 2.5433,              0.0012169,              0.0012169,              0.0012169
                     78,                 1.1914,                 1.0812,                 1.4177,                0.36596,                0.47144,                0.31366,                0.13577,                 2.4247,                 2.6244,                 2.7106,              0.0012109,              0.0012109,              0.0012109
