                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3798,                 2.1604,                 1.4919,                0.53565,                 0.4551,                0.46092,                0.27779,                 1.7234,                 2.1391,                 1.7867,             0.00055421,             0.00055421,             0.00055421
                      2,                 1.3826,                 1.6745,                 1.4886,                0.61819,                0.48161,                0.52359,                0.32891,                 1.7138,                 1.8956,                 1.7719,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.3701,                  1.538,                 1.4806,                 0.6987,                0.48427,                0.54708,                0.35375,                 1.6963,                  1.717,                 1.7452,              0.0016326,              0.0016326,              0.0016326
                      4,                 1.3361,                 1.4839,                 1.4733,                0.69046,                0.48458,                0.52952,                0.35682,                 1.6994,                 1.8138,                 1.8406,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2799,                 1.3833,                 1.4365,                0.73898,                0.52855,                0.60978,                0.40981,                 1.5614,                 1.5476,                 1.6675,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2448,                 1.3232,                 1.4161,                0.76253,                0.55015,                0.63188,                0.42798,                  1.563,                 1.5226,                 1.6692,               0.001601,               0.001601,               0.001601
                      7,                 1.2367,                 1.2996,                 1.4089,                0.76935,                0.57574,                0.65161,                 0.4434,                  1.505,                 1.3822,                 1.6163,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.2068,                 1.2493,                 1.3905,                0.75604,                0.53469,                0.61972,                0.42708,                 1.5305,                  1.487,                 1.6198,               0.001568,               0.001568,               0.001568
                      9,                 1.1724,                 1.2013,                 1.3677,                0.79913,                0.60664,                0.69315,                0.46444,                 1.4748,                 1.3608,                 1.5498,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1366,                 1.1573,                 1.3392,                0.78101,                0.62516,                0.69069,                0.47325,                 1.4595,                 1.2217,                 1.5472,               0.001535,               0.001535,               0.001535
                     11,                 1.1449,                 1.1507,                 1.3515,                0.80326,                0.57241,                0.65556,                0.45236,                 1.5043,                 1.3143,                  1.587,              0.0015185,              0.0015185,              0.0015185
