                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5755,                 2.8059,                 1.6121,                0.62933,                 0.6521,                0.66467,                0.47764,                 1.0236,                 1.6561,                 1.3497,              0.0033264,              0.0033264,              0.0033264
                      2,                 1.5181,                 2.0939,                 1.5412,                0.68339,                0.63807,                0.68451,                0.49924,                 1.0919,                 1.6203,                 1.3772,              0.0065944,              0.0065944,              0.0065944
                      3,                 1.5579,                 1.9068,                 1.5724,                0.73789,                0.69458,                0.75402,                0.54281,                 1.1003,                 1.3911,                 1.4166,              0.0097972,              0.0097972,              0.0097972
                      4,                  1.591,                 1.8245,                 1.5997,                0.77369,                0.69776,                0.76906,                0.56972,                 1.0547,                 1.2348,                 1.3666,              0.0097059,              0.0097059,              0.0097059
                      5,                 1.5354,                 1.6774,                 1.5512,                0.73739,                0.73393,                0.76929,                0.58486,                 1.0427,                 1.2419,                 1.3681,              0.0097059,              0.0097059,              0.0097059
                      6,                 1.5004,                 1.6349,                 1.5327,                0.76447,                0.76836,                0.80452,                0.61298,                 1.0131,                 1.1254,                 1.3318,              0.0096079,              0.0096079,              0.0096079
                      7,                 1.4803,                 1.5594,                 1.5049,                0.78495,                0.80275,                0.83082,                0.66276,                0.94053,                 0.9513,                 1.2998,              0.0095099,              0.0095099,              0.0095099
                      8,                 1.4499,                 1.5146,                 1.4897,                0.83772,                 0.7967,                0.84701,                0.66926,                0.96062,                0.90766,                 1.2891,              0.0094119,              0.0094119,              0.0094119
                      9,                 1.4362,                 1.4789,                 1.4806,                0.82638,                0.79238,                0.83703,                0.67269,                0.91961,                0.88776,                 1.2569,              0.0093139,              0.0093139,              0.0093139
                     10,                 1.4219,                 1.4526,                 1.4762,                  0.842,                0.80915,                0.85486,                0.68916,                0.90245,                0.85842,                 1.2513,              0.0092158,              0.0092158,              0.0092158
                     11,                 1.3962,                 1.4237,                 1.4583,                0.84545,                0.81588,                0.85029,                0.68502,                0.89111,                0.85591,                 1.2554,              0.0091178,              0.0091178,              0.0091178
                     12,                 1.3873,                 1.3896,                 1.4431,                0.82607,                0.80892,                0.85089,                0.68941,                0.86475,                0.87659,                 1.2281,              0.0090198,              0.0090198,              0.0090198
                     13,                 1.3767,                 1.3535,                 1.4329,                0.86003,                0.81015,                0.85778,                 0.7014,                0.86237,                0.81563,                 1.2198,              0.0089218,              0.0089218,              0.0089218
                     14,                  1.359,                 1.3547,                 1.4271,                0.86542,                 0.8139,                0.86288,                0.70466,                0.86587,                0.79084,                 1.2226,              0.0088238,              0.0088238,              0.0088238
                     15,                 1.3411,                 1.3212,                 1.4058,                0.87936,                0.82521,                0.87437,                0.72445,                0.83286,                0.76358,                 1.2125,              0.0087257,              0.0087257,              0.0087257
                     16,                 1.3504,                 1.3384,                 1.4114,                0.88559,                0.81804,                 0.8761,                0.72045,                0.85347,                0.76543,                 1.2286,              0.0086277,              0.0086277,              0.0086277
                     17,                 1.3332,                 1.2858,                 1.3955,                0.87161,                0.82673,                0.87034,                0.71791,                0.83156,                0.76703,                 1.2117,              0.0085297,              0.0085297,              0.0085297
