                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3819,                 2.1892,                 1.4804,                0.62339,                0.39639,                0.44862,                0.29693,                 1.7924,                 2.2106,                 1.8836,             0.00055421,             0.00055421,             0.00055421
                      2,                 1.3708,                 1.6593,                 1.4658,                0.63461,                0.42917,                0.48756,                 0.3269,                 1.8245,                  1.989,                 1.8927,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.3583,                 1.5316,                  1.482,                0.62821,                0.48232,                0.50864,                0.33007,                 1.6895,                 1.8147,                 1.7506,              0.0016326,              0.0016326,              0.0016326
                      4,                 1.3276,                 1.4773,                 1.4702,                0.66531,                0.49824,                0.54766,                0.35349,                 1.6812,                 1.7708,                 1.7341,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2844,                 1.3934,                 1.4346,                0.71374,                0.49296,                0.57977,                0.38495,                 1.6235,                 1.7888,                 1.6786,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2466,                 1.3136,                  1.409,                0.78258,                0.54945,                0.63775,                0.42483,                 1.5502,                 1.4118,                 1.6042,               0.001601,               0.001601,               0.001601
                      7,                 1.2234,                 1.2749,                 1.3966,                0.76902,                0.57678,                  0.653,                0.44193,                 1.4824,                 1.4081,                 1.5664,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1919,                 1.2365,                 1.3751,                 0.7907,                0.58423,                0.66473,                0.44892,                 1.4763,                  1.355,                 1.5504,               0.001568,               0.001568,               0.001568
                      9,                  1.181,                  1.197,                 1.3666,                0.78851,                0.59065,                0.67709,                0.46245,                 1.4618,                 1.2742,                 1.5582,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1682,                 1.1711,                 1.3579,                0.80795,                0.61591,                0.69213,                0.47036,                 1.4555,                 1.2511,                 1.5535,               0.001535,               0.001535,               0.001535
                     11,                 1.1518,                  1.169,                 1.3574,                0.82274,                0.61023,                0.68918,                 0.4716,                 1.4554,                 1.2536,                 1.5453,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1447,                  1.145,                 1.3494,                0.82409,                0.60528,                0.69772,                0.48039,                 1.4195,                  1.221,                 1.5253,               0.001502,               0.001502,               0.001502
                     13,                 1.1323,                 1.1221,                 1.3478,                0.80852,                0.61795,                0.69568,                0.48581,                 1.4001,                 1.1912,                 1.5135,              0.0014855,              0.0014855,              0.0014855
