                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0597,                0.98903,                 1.2472,                0.83501,                0.71827,                 0.7798,                0.55345,                 1.2604,                0.97446,                 1.3705,               0.006733,               0.006733,               0.006733
                     36,                 1.0583,                0.98598,                 1.2471,                0.84677,                0.70654,                0.77815,                0.55443,                 1.2653,                0.97806,                 1.3754,               0.006634,               0.006634,               0.006634
                     37,                 1.0745,                0.99178,                 1.2546,                0.84374,                0.70589,                0.77581,                0.55478,                 1.2661,                0.97712,                   1.38,               0.006535,               0.006535,               0.006535
                     38,                  1.047,                0.97783,                 1.2423,                0.84552,                0.69825,                0.77226,                0.55452,                  1.251,                0.98006,                 1.3686,               0.006436,               0.006436,               0.006436
                     39,                 1.0537,                0.97692,                 1.2455,                 0.8538,                0.70554,                 0.7803,                0.56171,                 1.2488,                0.96346,                 1.3597,               0.006337,               0.006337,               0.006337
                     40,                 1.0408,                 0.9632,                 1.2352,                0.83768,                0.70675,                 0.7772,                0.56044,                 1.2485,                 0.9595,                 1.3654,               0.006238,               0.006238,               0.006238
                     41,                  1.053,                0.97326,                 1.2454,                0.84969,                0.70639,                0.78134,                0.56078,                 1.2472,                0.96655,                 1.3694,               0.006139,               0.006139,               0.006139
                     42,                 1.0412,                0.96353,                 1.2359,                0.84519,                0.71176,                0.78308,                0.56049,                 1.2338,                0.95094,                 1.3575,                0.00604,                0.00604,                0.00604
                     43,                 1.0372,                0.95217,                 1.2365,                0.85249,                0.71315,                0.78794,                0.56638,                 1.2419,                0.93301,                 1.3598,               0.005941,               0.005941,               0.005941
                     44,                 1.0348,                0.95423,                 1.2338,                0.84875,                0.71206,                0.78518,                0.56248,                 1.2391,                0.94785,                 1.3576,               0.005842,               0.005842,               0.005842
                     45,                 1.0277,                0.93808,                 1.2232,                0.86287,                 0.6996,                0.78583,                0.56668,                 1.2364,                0.93482,                 1.3549,               0.005743,               0.005743,               0.005743
                     46,                 1.0334,                 0.9426,                 1.2293,                0.85368,                0.71434,                0.78637,                0.56689,                 1.2291,                 0.9331,                 1.3534,               0.005644,               0.005644,               0.005644
                     47,                 1.0359,                0.94782,                  1.229,                0.86038,                0.70806,                0.78801,                0.57013,                 1.2304,                0.93358,                 1.3491,               0.005545,               0.005545,               0.005545
                     48,                 1.0184,                0.93459,                  1.217,                0.85142,                0.72039,                0.79297,                0.57003,                 1.2349,                0.92391,                 1.3503,               0.005446,               0.005446,               0.005446
                     49,                 1.0322,                0.94376,                 1.2287,                0.86804,                0.71713,                0.79315,                0.57127,                 1.2289,                0.92223,                 1.3485,               0.005347,               0.005347,               0.005347
                     50,                 1.0265,                0.94674,                 1.2236,                0.86051,                 0.7154,                   0.79,                0.57095,                 1.2192,                0.92525,                 1.3435,               0.005248,               0.005248,               0.005248
                     51,                 1.0201,                0.92846,                 1.2207,                0.87202,                0.70648,                0.79195,                0.57215,                 1.2202,                0.91623,                 1.3431,               0.005149,               0.005149,               0.005149
                     52,                 1.0185,                0.91919,                 1.2178,                0.86436,                0.71999,                0.79476,                 0.5727,                  1.211,                0.91654,                 1.3382,                0.00505,                0.00505,                0.00505
                     53,                 1.0104,                0.91318,                 1.2119,                0.86464,                0.71436,                0.79342,                0.57562,                 1.2113,                0.90641,                  1.334,               0.004951,               0.004951,               0.004951
                     54,                  1.021,                0.92047,                 1.2197,                0.85817,                0.72687,                0.79706,                0.57819,                 1.2083,                0.90173,                 1.3341,               0.004852,               0.004852,               0.004852
                     55,                 1.0153,                0.91754,                 1.2211,                0.87545,                0.70905,                0.79626,                0.57612,                 1.2051,                0.89817,                 1.3328,               0.004753,               0.004753,               0.004753
                     56,                 1.0051,                0.90771,                 1.2132,                0.86809,                0.72273,                0.79679,                0.57987,                 1.2041,                 0.8984,                 1.3299,               0.004654,               0.004654,               0.004654
                     57,                0.99358,                0.89581,                 1.2092,                0.87412,                0.71183,                0.79661,                0.57763,                 1.2101,                0.89943,                 1.3372,               0.004555,               0.004555,               0.004555
                     58,                0.99504,                0.89959,                 1.2071,                0.85463,                0.72367,                0.79806,                0.57787,                 1.2088,                0.90411,                 1.3386,               0.004456,               0.004456,               0.004456
                     59,                0.99643,                0.89662,                 1.2071,                0.87508,                0.71719,                0.80069,                0.58055,                 1.1979,                0.89153,                 1.3298,               0.004357,               0.004357,               0.004357
                     60,                0.99152,                0.89088,                 1.2049,                0.87725,                0.71133,                 0.7982,                0.58177,                 1.1924,                0.89191,                 1.3271,               0.004258,               0.004258,               0.004258
                     61,                0.99438,                0.89485,                 1.2091,                0.88073,                0.71621,                0.80082,                 0.5812,                 1.1903,                0.88887,                 1.3238,               0.004159,               0.004159,               0.004159
                     62,                 0.9958,                0.89647,                  1.213,                 0.8513,                0.73364,                0.80208,                0.58129,                 1.1937,                0.89159,                 1.3294,                0.00406,                0.00406,                0.00406
                     63,                0.98398,                0.88588,                    1.2,                0.86225,                0.72553,                0.80164,                0.58164,                 1.2022,                0.88288,                 1.3294,               0.003961,               0.003961,               0.003961
                     64,                 1.0093,                0.90304,                 1.2149,                0.86822,                 0.7234,                 0.8007,                0.58062,                 1.1986,                0.88087,                 1.3295,               0.003862,               0.003862,               0.003862
                     65,                0.98275,                  0.881,                 1.1952,                0.86624,                0.72469,                0.80086,                0.58081,                 1.1909,                 0.8772,                 1.3229,               0.003763,               0.003763,               0.003763
                     66,                0.98404,                0.88589,                 1.2026,                0.88028,                0.71854,                0.80192,                0.58377,                 1.1964,                 0.8736,                 1.3233,               0.003664,               0.003664,               0.003664
                     67,                0.98125,                0.87574,                 1.1955,                0.86916,                0.72546,                0.80409,                0.58323,                 1.1991,                 0.8693,                 1.3243,               0.003565,               0.003565,               0.003565
                     68,                0.97538,                  0.872,                 1.1967,                0.88657,                0.71135,                  0.805,                0.58423,                 1.1951,                0.86771,                 1.3222,               0.003466,               0.003466,               0.003466
                     69,                0.98818,                0.88208,                 1.2056,                0.86854,                 0.7236,                0.80319,                0.58294,                 1.1933,                0.87118,                 1.3205,               0.003367,               0.003367,               0.003367
                     70,                0.98749,                0.86568,                 1.1971,                0.87045,                0.72809,                0.80478,                0.58294,                  1.199,                0.86568,                 1.3252,               0.003268,               0.003268,               0.003268
                     71,                0.96968,                0.85573,                   1.19,                0.86518,                0.72831,                 0.8036,                0.58399,                 1.1933,                0.86337,                 1.3218,               0.003169,               0.003169,               0.003169
                     72,                0.96269,                0.85407,                 1.1895,                0.85688,                 0.7392,                0.80607,                 0.5866,                 1.1871,                0.86432,                 1.3216,                0.00307,                0.00307,                0.00307
                     73,                0.98191,                 0.8649,                 1.1958,                0.86108,                0.73731,                0.80694,                0.58827,                 1.1876,                0.85658,                 1.3177,               0.002971,               0.002971,               0.002971
                     74,                0.96324,                0.84828,                 1.1893,                 0.8627,                0.73584,                0.80824,                0.58889,                 1.1909,                0.85646,                 1.3212,               0.002872,               0.002872,               0.002872
                     75,                0.95785,                0.84717,                 1.1855,                0.88041,                0.72383,                0.80935,                0.58855,                 1.1869,                0.85352,                 1.3187,               0.002773,               0.002773,               0.002773
                     76,                 0.9605,                0.85152,                 1.1865,                0.86393,                0.73525,                0.81033,                0.58899,                 1.1883,                0.85228,                 1.3195,               0.002674,               0.002674,               0.002674
                     77,                0.95939,                0.84723,                  1.186,                 0.8657,                0.73731,                0.81144,                0.59054,                 1.1856,                0.85455,                 1.3188,               0.002575,               0.002575,               0.002575
                     78,                 0.9666,                 0.8587,                 1.1885,                0.87464,                0.73521,                0.81248,                0.59203,                 1.1811,                0.85068,                 1.3162,               0.002476,               0.002476,               0.002476
                     79,                0.95318,                0.83743,                  1.184,                0.86656,                0.73445,                0.81227,                0.59136,                 1.1861,                0.85102,                 1.3203,               0.002377,               0.002377,               0.002377
                     80,                0.95546,                0.84152,                 1.1822,                0.87472,                0.73083,                0.81291,                0.59043,                 1.1847,                0.84889,                 1.3194,               0.002278,               0.002278,               0.002278
                     81,                0.94596,                 0.8385,                 1.1782,                0.87998,                0.72526,                0.81007,                0.59021,                 1.1817,                0.84837,                 1.3168,               0.002179,               0.002179,               0.002179
                     82,                0.95293,                0.83868,                 1.1826,                0.85385,                0.75076,                0.81212,                0.59146,                 1.1766,                0.84589,                 1.3126,                0.00208,                0.00208,                0.00208
                     83,                0.94366,                0.82353,                 1.1746,                0.86459,                0.73782,                 0.8107,                0.59158,                 1.1732,                0.84721,                 1.3106,               0.001981,               0.001981,               0.001981
                     84,                 0.9482,                0.83393,                 1.1785,                0.85952,                0.74131,                0.81221,                0.59261,                 1.1739,                0.84272,                 1.3109,               0.001882,               0.001882,               0.001882
                     85,                0.94343,                0.83291,                 1.1764,                 0.8656,                0.73625,                0.81225,                0.59288,                 1.1728,                 0.8433,                  1.311,               0.001783,               0.001783,               0.001783
                     86,                0.93976,                0.81885,                 1.1737,                0.87341,                0.73194,                0.81136,                0.59339,                 1.1733,                0.84203,                 1.3111,               0.001684,               0.001684,               0.001684
                     87,                0.93303,                0.81625,                 1.1686,                0.88622,                 0.7233,                0.81023,                0.59437,                 1.1721,                0.83815,                 1.3094,               0.001585,               0.001585,               0.001585
                     88,                0.95155,                0.83506,                 1.1843,                0.88159,                0.72679,                 0.8121,                0.59385,                 1.1752,                0.84097,                 1.3115,               0.001486,               0.001486,               0.001486
                     89,                 0.9404,                0.82446,                 1.1731,                0.87958,                0.73111,                0.81463,                0.59485,                  1.175,                0.84025,                 1.3103,               0.001387,               0.001387,               0.001387
                     90,                0.93209,                0.81481,                 1.1732,                0.89249,                0.71936,                 0.8157,                0.59528,                 1.1728,                0.83882,                 1.3093,               0.001288,               0.001288,               0.001288
