                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0165,                0.92286,                 1.2624,                0.83549,                0.67421,                0.74729,                 0.5358,                 1.2373,                0.96992,                 1.3852,              0.0011224,              0.0011224,              0.0011224
                     36,                0.99666,                0.89402,                 1.2499,                0.84499,                0.67069,                0.74687,                0.53913,                 1.2407,                 0.9509,                 1.3864,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0021,                0.90363,                 1.2533,                0.84613,                0.67991,                0.75571,                0.54506,                 1.2228,                0.92141,                 1.3817,              0.0010894,              0.0010894,              0.0010894
                     38,                0.98331,                0.86895,                 1.2361,                0.83809,                0.68465,                0.75238,                 0.5424,                 1.2188,                0.93746,                 1.3785,              0.0010729,              0.0010729,              0.0010729
                     39,                0.99209,                 0.8988,                 1.2465,                 0.8304,                  0.694,                0.75584,                 0.5458,                 1.2177,                0.91647,                 1.3718,              0.0010564,              0.0010564,              0.0010564
                     40,                0.98291,                0.87953,                 1.2364,                0.84669,                0.68156,                0.75809,                0.54875,                 1.2203,                0.91596,                 1.3757,              0.0010399,              0.0010399,              0.0010399
                     41,                0.97495,                0.87524,                  1.232,                0.85463,                0.68225,                0.76075,                0.54757,                 1.2259,                0.91877,                 1.3801,              0.0010234,              0.0010234,              0.0010234
                     42,                0.97765,                0.86981,                 1.2363,                0.82277,                0.69885,                0.75465,                0.54517,                 1.2202,                0.92338,                 1.3869,              0.0010069,              0.0010069,              0.0010069
                     43,                0.96496,                 0.8475,                 1.2294,                0.82961,                0.69601,                0.76466,                 0.5501,                 1.2129,                0.90484,                 1.3685,             0.00099036,             0.00099036,             0.00099036
                     44,                0.96554,                0.84721,                 1.2292,                0.83984,                0.68979,                 0.7648,                0.55094,                 1.2154,                0.90231,                  1.372,             0.00097386,             0.00097386,             0.00097386
                     45,                0.95463,                0.84804,                 1.2197,                0.84601,                0.68605,                0.76395,                0.55023,                 1.2201,                0.89649,                 1.3679,             0.00095736,             0.00095736,             0.00095736
                     46,                0.96814,                0.85457,                 1.2291,                0.84631,                0.69156,                0.76554,                0.55371,                 1.2074,                0.88873,                 1.3617,             0.00094085,             0.00094085,             0.00094085
                     47,                0.94861,                 0.8232,                 1.2139,                0.84799,                0.69433,                0.76595,                0.55288,                 1.2098,                0.88137,                 1.3669,             0.00092435,             0.00092435,             0.00092435
                     48,                0.95183,                0.82395,                 1.2104,                 0.8471,                0.70011,                0.76561,                0.55611,                 1.1939,                0.88889,                 1.3544,             0.00090785,             0.00090785,             0.00090785
