                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0012,                0.90747,                 1.2588,                0.84316,                0.67667,                0.76001,                0.54951,                  1.235,                0.94167,                 1.3861,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0004,                0.90782,                 1.2593,                0.84629,                0.67977,                0.76457,                0.55337,                 1.2396,                 0.9297,                 1.3839,              0.0011059,              0.0011059,              0.0011059
                     37,                0.98991,                0.90384,                 1.2577,                0.87112,                0.66533,                0.76728,                0.55184,                 1.2173,                0.92921,                 1.3652,              0.0010894,              0.0010894,              0.0010894
                     38,                  1.002,                0.91129,                 1.2532,                0.83998,                 0.6811,                0.76068,                0.55283,                 1.2138,                0.92897,                 1.3616,              0.0010729,              0.0010729,              0.0010729
                     39,                0.99362,                0.89614,                 1.2493,                0.83954,                0.68133,                0.76099,                0.54882,                 1.2312,                0.95787,                 1.3732,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0008,                0.88973,                 1.2492,                0.84253,                0.69138,                0.77126,                0.55837,                 1.2102,                0.92029,                  1.357,              0.0010399,              0.0010399,              0.0010399
                     41,                0.97854,                0.87375,                 1.2316,                0.84193,                0.68932,                0.77004,                0.55494,                 1.2107,                0.93331,                 1.3669,              0.0010234,              0.0010234,              0.0010234
                     42,                0.97239,                0.85637,                 1.2301,                 0.8571,                0.68822,                0.77583,                0.56348,                 1.1943,                0.90044,                 1.3581,              0.0010069,              0.0010069,              0.0010069
                     43,                0.98407,                 0.8752,                 1.2446,                0.86149,                0.68887,                0.77138,                 0.5604,                 1.1964,                0.91044,                 1.3554,             0.00099036,             0.00099036,             0.00099036
                     44,                0.97361,                0.86293,                 1.2343,                 0.8513,                0.69326,                0.77383,                0.56381,                 1.2045,                0.89176,                 1.3532,             0.00097386,             0.00097386,             0.00097386
                     45,                0.95912,                0.84061,                 1.2238,                 0.8468,                0.70032,                0.77656,                0.56318,                 1.2038,                0.88259,                 1.3458,             0.00095736,             0.00095736,             0.00095736
                     46,                0.96113,                0.84986,                 1.2227,                0.84585,                0.69894,                0.77711,                0.56628,                 1.1924,                0.88354,                 1.3459,             0.00094085,             0.00094085,             0.00094085
                     47,                0.95524,                0.83442,                 1.2201,                0.85881,                0.69892,                0.78213,                0.56761,                 1.1854,                0.89665,                 1.3393,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.9535,                0.84104,                 1.2216,                0.85105,                0.70149,                0.77387,                 0.5623,                 1.1934,                0.89503,                  1.344,             0.00090785,             0.00090785,             0.00090785
                     49,                0.94854,                0.83542,                 1.2196,                0.84284,                0.69967,                0.77615,                0.56221,                  1.187,                 0.8869,                 1.3491,             0.00089134,             0.00089134,             0.00089134
                     50,                0.95528,                0.83249,                 1.2235,                0.85358,                0.68855,                0.77546,                0.56756,                 1.1857,                0.88964,                   1.34,             0.00087484,             0.00087484,             0.00087484
                     51,                0.93428,                0.81716,                 1.2169,                0.84498,                0.70458,                0.78081,                0.57103,                 1.1866,                0.87069,                 1.3395,             0.00085834,             0.00085834,             0.00085834
                     52,                0.94156,                0.81871,                 1.2127,                0.85226,                0.71101,                0.78543,                0.57373,                 1.1817,                 0.8613,                 1.3405,             0.00084184,             0.00084184,             0.00084184
                     53,                0.93919,                0.81461,                 1.2056,                0.84014,                0.71491,                0.78306,                0.57312,                 1.1816,                0.85615,                 1.3383,             0.00082533,             0.00082533,             0.00082533
                     54,                0.92464,                0.79934,                 1.2052,                0.84984,                0.70415,                0.78648,                0.57588,                  1.167,                0.86081,                 1.3364,             0.00080883,             0.00080883,             0.00080883
                     55,                0.93805,                0.81428,                  1.212,                0.86294,                0.70755,                0.78886,                0.57581,                 1.1713,                0.84222,                 1.3348,             0.00079233,             0.00079233,             0.00079233
                     56,                0.93365,                0.79488,                 1.2083,                0.84987,                0.70699,                0.78724,                0.57712,                 1.1745,                0.85667,                 1.3355,             0.00077582,             0.00077582,             0.00077582
                     57,                0.92412,                0.79099,                 1.2016,                0.85554,                0.69975,                 0.7837,                0.57639,                 1.1702,                0.85573,                 1.3324,             0.00075932,             0.00075932,             0.00075932
                     58,                0.92417,                0.78169,                 1.2025,                0.85567,                0.71289,                0.78948,                0.57772,                 1.1757,                 0.8428,                 1.3326,             0.00074282,             0.00074282,             0.00074282
                     59,                0.92087,                0.78626,                 1.1983,                0.85736,                0.71143,                0.79133,                0.58254,                 1.1634,                0.84048,                 1.3278,             0.00072631,             0.00072631,             0.00072631
                     60,                0.91737,                0.77466,                  1.192,                0.85748,                0.70991,                0.79096,                0.57721,                 1.1685,                0.84671,                 1.3297,             0.00070981,             0.00070981,             0.00070981
                     61,                0.91606,                0.76645,                 1.1934,                0.84554,                0.71639,                0.79609,                0.58417,                 1.1623,                0.83651,                 1.3254,             0.00069331,             0.00069331,             0.00069331
                     62,                0.90752,                0.76879,                 1.1877,                0.86498,                0.71135,                0.79449,                0.58234,                 1.1597,                0.82803,                 1.3216,              0.0006768,              0.0006768,              0.0006768
                     63,                0.90896,                 0.7694,                 1.1913,                0.85436,                0.71634,                 0.7952,                0.58177,                 1.1623,                0.82539,                 1.3276,              0.0006603,              0.0006603,              0.0006603
                     64,                0.90121,                0.76184,                  1.182,                0.86346,                0.72046,                0.79711,                0.58352,                 1.1547,                0.82085,                 1.3228,              0.0006438,              0.0006438,              0.0006438
                     65,                0.90028,                 0.7493,                  1.183,                0.86908,                0.70835,                0.79503,                0.58514,                  1.152,                0.82172,                 1.3128,             0.00062729,             0.00062729,             0.00062729
                     66,                0.89814,                0.74641,                  1.181,                0.86761,                0.71109,                0.79654,                0.58389,                 1.1584,                 0.8282,                 1.3232,             0.00061079,             0.00061079,             0.00061079
                     67,                0.89065,                0.74162,                 1.1736,                 0.8538,                0.71184,                0.79671,                0.58436,                 1.1571,                0.81978,                 1.3214,             0.00059429,             0.00059429,             0.00059429
