                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5368,                 2.7731,                 1.5736,                0.73628,                0.67237,                0.72765,                 0.5519,                 1.0112,                 1.5254,                 1.3056,              0.0033264,              0.0033264,              0.0033264
                      2,                   1.46,                 1.9964,                 1.5103,                0.76829,                0.60563,                0.68307,                0.50664,                 1.1944,                 1.6237,                 1.5488,              0.0065938,              0.0065938,              0.0065938
                      3,                 1.5152,                 1.8448,                 1.5535,                0.80451,                0.67674,                0.75828,                0.56703,                 1.1751,                 1.4327,                 1.4778,              0.0097952,              0.0097952,              0.0097952
                      4,                 1.5768,                 1.8157,                 1.6119,                0.79774,                0.75164,                0.80977,                0.62278,                 1.0557,                 1.1785,                 1.3862,               0.009703,               0.009703,               0.009703
                      5,                 1.5153,                 1.6627,                 1.5677,                0.85377,                0.79241,                0.84386,                0.65295,                 1.0189,                 1.0786,                 1.3474,               0.009703,               0.009703,               0.009703
                      6,                 1.4738,                 1.6067,                 1.5484,                0.86445,                 0.8239,                  0.865,                 0.6884,                0.97892,                 0.9024,                 1.3171,               0.009604,               0.009604,               0.009604
                      7,                 1.4531,                 1.5354,                 1.5252,                0.86622,                0.84359,                0.87556,                0.71609,                0.87644,                0.86348,                 1.2647,               0.009505,               0.009505,               0.009505
                      8,                 1.4236,                 1.4851,                 1.5161,                0.87761,                0.80385,                0.86754,                0.70517,                 0.8696,                0.82236,                 1.2524,               0.009406,               0.009406,               0.009406
                      9,                 1.4055,                 1.4508,                 1.5097,                 0.8833,                0.82636,                 0.8749,                0.71224,                0.86959,                 0.7899,                 1.2467,               0.009307,               0.009307,               0.009307
                     10,                 1.3846,                 1.4187,                  1.499,                0.88461,                0.83108,                0.88106,                0.72431,                0.87038,                0.76406,                 1.2466,               0.009208,               0.009208,               0.009208
                     11,                 1.3718,                 1.3868,                 1.4818,                0.89758,                0.87598,                0.89302,                0.74678,                0.79226,                0.69505,                 1.1964,               0.009109,               0.009109,               0.009109
                     12,                 1.3594,                 1.3468,                 1.4726,                0.90476,                0.85606,                0.88901,                0.75143,                0.80821,                0.74716,                 1.2171,                0.00901,                0.00901,                0.00901
                     13,                  1.343,                  1.321,                 1.4581,                0.89711,                0.84104,                0.88504,                0.74052,                0.82438,                0.74074,                 1.2097,               0.008911,               0.008911,               0.008911
                     14,                 1.3262,                 1.2979,                 1.4463,                0.91406,                0.85698,                0.89481,                0.74844,                0.81278,                0.71662,                 1.2005,               0.008812,               0.008812,               0.008812
                     15,                 1.3048,                 1.2775,                 1.4283,                0.91861,                0.85709,                 0.9032,                0.77514,                 0.7528,                0.68672,                  1.179,               0.008713,               0.008713,               0.008713
                     16,                 1.3084,                 1.2876,                  1.438,                 0.9039,                0.86825,                0.89796,                0.76914,                0.77091,                 0.6722,                 1.1981,               0.008614,               0.008614,               0.008614
                     17,                  1.294,                 1.2381,                 1.4215,                0.88853,                0.87314,                0.89049,                0.75931,                 0.7636,                0.69457,                 1.1921,               0.008515,               0.008515,               0.008515
                     18,                 1.2926,                 1.2355,                 1.4244,                0.92325,                 0.8704,                0.90064,                0.77383,                0.74802,                0.63345,                 1.1625,               0.008416,               0.008416,               0.008416
                     19,                 1.2802,                 1.2232,                 1.4148,                0.92242,                0.86206,                0.90288,                0.77447,                0.75746,                0.63781,                  1.168,               0.008317,               0.008317,               0.008317
                     20,                 1.2771,                 1.2193,                 1.4119,                0.90772,                0.87015,                0.90078,                0.78118,                0.75301,                0.62753,                 1.1881,               0.008218,               0.008218,               0.008218
                     21,                 1.2528,                 1.1846,                 1.3897,                0.91891,                0.87851,                0.90587,                0.78512,                 0.7215,                0.58795,                 1.1483,               0.008119,               0.008119,               0.008119
                     22,                 1.2633,                  1.187,                  1.401,                 0.9137,                0.86693,                0.90713,                0.79066,                0.69846,                0.59806,                 1.1302,                0.00802,                0.00802,                0.00802
                     23,                 1.2389,                 1.1593,                 1.3913,                0.93421,                0.87644,                0.91095,                0.79865,                0.70055,                0.56629,                 1.1399,               0.007921,               0.007921,               0.007921
                     24,                 1.2407,                 1.1527,                 1.3814,                 0.9223,                0.87431,                0.90596,                0.79151,                0.71267,                0.58822,                 1.1421,               0.007822,               0.007822,               0.007822
                     25,                 1.2456,                 1.1537,                 1.3879,                0.91028,                0.88525,                0.90962,                 0.7964,                0.71156,                0.58686,                 1.1536,               0.007723,               0.007723,               0.007723
                     26,                 1.2165,                 1.1245,                  1.372,                0.91828,                0.87385,                0.90268,                0.78597,                0.72059,                0.61529,                 1.1584,               0.007624,               0.007624,               0.007624
                     27,                 1.2232,                  1.132,                 1.3813,                0.92549,                0.88437,                 0.9096,                0.79986,                0.68201,                0.55347,                 1.1258,               0.007525,               0.007525,               0.007525
                     28,                 1.2094,                 1.1141,                 1.3612,                0.92072,                0.88225,                0.90452,                0.79682,                0.66924,                0.54778,                 1.1143,               0.007426,               0.007426,               0.007426
                     29,                 1.2017,                 1.1006,                 1.3608,                0.92925,                0.88192,                 0.9092,                0.80271,                 0.6744,                 0.5623,                 1.1253,               0.007327,               0.007327,               0.007327
